control,mode,seed,observer,mg_all,mg_first,mg_second,rough_all,acorr_all,prd_all,spec_all,traj_PR,n_windows
amp_ramp,qp,1,w_fro,5.922124916916168,5.5966555124430455,6.110148584250371,0.6125168616365497,2.0,5.608827990876669,7.356903288848329,3.789596474798961,8
amp_ramp,qp,1,c_norm,5.921330012959905,5.596121022786473,6.1095753378106,0.6125492394805828,2.0,5.604910723911535,7.352710850891755,3.789596474798961,8
amp_ramp,qp,1,fn_fro,6.731537702816736,6.7581270501121224,6.717097076953895,0.6221018355142287,2.0,5.6109835266150565,8.435190557341766,3.789596474798961,8
amp_ramp,qp,1,g_fro,7.121388394718153,7.230412511605342,6.981299740527394,0.8694055529375256,2.0,8.919813012294963,14.754439603872656,3.789596474798961,8
amp_ramp,qp,1,g_proj,5.360596817377152,5.3295703462542106,5.390191677640688,0.6256629473035986,2.0,3.224632292056385,6.236681332346098,3.789596474798961,8
amp_ramp,qp,1,c_proj1,4.9555008438293475,5.0883964348704165,4.877130127375965,0.6787835415288608,2.0,2.758629516468808,5.546169395336131,3.789596474798961,8
amp_ramp,qp,1,fn_proj1,6.484345525335093,6.43802134840981,6.533599888376525,0.6639037891571916,2.0,2.756964519049567,4.034110347263812,3.789596474798961,8
amp_ramp,qp,1,margin,4.798394207694285,4.715732461758606,4.838240497585221,0.5786686597707497,3.0,6.0607893734610805,10.008169922204782,3.789596474798961,8
amp_ramp,qp,1,acc_probe,,,,,,,,3.789596474798961,0
amp_ramp,qp,2,loss_step,6.5947385209502425,6.971174832049321,6.38111036967558,0.6731053788960912,2.0,2.9888542375443103,4.29219223216889,3.590159677391055,8
amp_ramp,qp,2,loss_full,7.119339558266846,7.0865614970414645,7.160020426513705,0.891917791804592,2.0,11.744729821105711,21.442800859443615,3.590159677391055,8
amp_ramp,qp,2,loss_probe,5.858874411757837,5.9951377874533724,5.819722670621685,0.5469891632569407,3.0,5.79408674030109,3.998777897165266,3.590159677391055,8
amp_ramp,qp,2,w_fro,6.674445427789194,6.755036374983491,6.6156798708149624,0.5693202235100117,3.0,6.362926150355872,6.090419618709146,3.590159677391055,8
amp_ramp,qp,2,c_norm,6.67024557928973,6.754589810517367,6.6117779758421475,0.5692980856392889,3.0,6.363301045252466,6.092360758576927,3.590159677391055,8
amp_ramp,qp,2,fn_fro,7.085702819307968,7.048970423835414,7.123783954212154,0.646977249994835,2.0,2.856580929456691,4.078944154345825,3.590159677391055,8
amp_ramp,qp,2,g_fro,6.324695304801491,6.470272791844746,6.242957913665514,0.9410284286621935,2.0,11.577893022921971,18.84801960532442,3.590159677391055,8
amp_ramp,qp,2,g_proj,5.790180477794994,6.128191440726147,5.553602475881357,0.48737310956944774,3.0,6.7411767636063225,5.515516492463739,3.590159677391055,8
amp_ramp,qp,2,c_proj1,4.610036473454635,5.270441827596159,4.374295780148137,0.6786821263068475,2.0,3.805464862877689,7.4296515347027725,3.590159677391055,8
amp_ramp,qp,2,fn_proj1,6.176098664906172,6.250323032613261,6.169943022399417,0.525379196612747,3.0,4.735961491852249,2.8475326857470984,3.590159677391055,8
amp_ramp,qp,2,margin,5.940360268187303,6.448497589747426,5.6996283414747655,0.6598385845636652,2.0,4.1096304780112956,6.165233720147226,3.590159677391055,8
amp_ramp,qp,2,acc_probe,5.300182603826032,4.504244069356567,5.50430154982594,0.930758530069532,2.0,3.559528018386869,7.814259387825538,3.590159677391055,7
amp_ramp,qp,3,loss_step,5.099695874143471,5.078248825771253,5.114586380765706,0.6985935185998406,2.0,3.7188382519503493,6.962831850801813,3.8501246451889277,8
amp_ramp,qp,3,loss_full,7.271567835255073,7.093711303173679,7.312951272246982,0.8755798117530157,2.0,8.388795640997781,13.158296721613247,3.8501246451889277,8
amp_ramp,qp,3,loss_probe,5.415548177056365,4.944351326089588,5.808505848830489,0.6477820516539753,2.0,2.491580979685204,3.5716072284523035,3.8501246451889277,8
amp_ramp,qp,3,w_fro,5.524621882865382,5.582755222733725,5.44848408046176,0.5452958343635633,3.0,4.012384095092912,2.40868201721294,3.8501246451889277,8
amp_ramp,qp,3,c_norm,5.524046262533701,5.582199878015933,5.447852498140557,0.5452938418670432,3.0,4.010528924758976,2.4073690851374945,3.8501246451889277,8
amp_ramp,qp,3,fn_fro,6.492600675511293,6.637810429052425,6.242282554561843,0.5939317178799844,3.0,6.503716324318615,7.496805484257877,3.8501246451889277,8
amp_ramp,qp,3,g_fro,6.323048163321802,6.040127178678414,6.5809020626788595,0.9210681396899536,2.0,8.490527737089423,13.795614076601957,3.8501246451889277,8
amp_ramp,qp,3,g_proj,7.66629004059355,7.769039835637162,7.565556088633343,0.5621839079886055,3.0,5.574174042618228,6.1604049024240535,3.8501246451889277,8
amp_ramp,qp,3,c_proj1,5.222371923853495,5.308802608401818,5.021902212610368,0.6047296715473761,2.0,5.048266154773053,8.75858149094017,3.8501246451889277,8
amp_ramp,qp,3,fn_proj1,6.50768867142242,7.0113210975164275,6.037136606827529,0.4534657105149185,3.0,4.251319613688734,4.414664662732722,3.8501246451889277,8
amp_ramp,qp,3,margin,5.477845114320287,5.8915508176343945,5.191337868545107,0.5090683479951232,3.0,2.8481000130667455,1.600045641079039,3.8501246451889277,8
amp_ramp,qp,3,acc_probe,,,,,,,,3.8501246451889277,0
amp_ramp,qp,4,loss_step,5.674111328468464,5.672839175552751,5.674111328468464,0.5953336238959486,3.0,3.5680105039731473,2.1772105674409854,3.7360647409814103,8
amp_ramp,qp,4,loss_full,7.402207515393958,7.402207515393958,7.415475813518632,0.8122972572940828,2.0,10.329171638706319,17.189183291314592,3.7360647409814103,8
amp_ramp,qp,4,loss_probe,6.105438042330168,5.999608211607203,6.125235946918452,0.5361607210002136,3.0,3.7860236333051835,2.268948895764116,3.7360647409814103,8
amp_ramp,qp,4,w_fro,6.140905248626725,5.972312767416245,6.234568594903223,0.651326713374438,2.0,5.00193789802497,8.624114887872983,3.7360647409814103,8
amp_ramp,qp,4,c_norm,6.140967742443527,5.972552998044011,6.234095823773304,0.6513433887583926,2.0,5.00115235698016,8.624056215099998,3.7360647409814103,8
amp_ramp,qp,4,fn_fro,6.433080907740813,6.52625423698509,6.356225201602833,0.5895883403262485,3.0,4.737643111086344,4.897967547292254,3.7360647409814103,8
amp_ramp,qp,4,g_fro,7.079095803060853,7.079095803060853,7.0853940934829325,0.83923283474298,2.0,10.13751847080504,16.80274176121265,3.7360647409814103,8
amp_ramp,qp,4,g_proj,5.659613343772699,5.564909012445555,5.832092685535643,0.5838272088412906,3.0,5.829498039486244,4.4796320507971465,3.7360647409814103,8
amp_ramp,qp,4,c_proj1,5.612271176862954,5.446721634512376,5.892146026497953,0.6588184997425066,2.0,2.874786691674589,4.195351422178896,3.7360647409814103,8
amp_ramp,qp,4,fn_proj1,6.7903474323167785,6.835023617991353,6.753280266604781,0.6259332619027601,2.0,4.540338302820025,6.41852859798591,3.7360647409814103,8
amp_ramp,qp,4,margin,4.6860561104209415,5.076040929082715,4.568253257759709,0.6141501136769456,2.0,5.177831864876042,9.44118926101217,3.7360647409814103,8
amp_ramp,qp,4,acc_probe,4.890511924731167,,4.890511924731167,0.7685060122357912,3.0,5.419841906312733,3.3956444386585236,3.7360647409814103,4
lr_step,qp,0,loss_step,5.043096933974999,5.041614350609375,5.0447007050054875,0.7227216424642291,2.0,2.3211318456792247,4.764222139974858,3.9959358808018717,8
lr_step,qp,0,loss_full,5.649671985157241,5.566870216390352,5.66867445372694,0.7993858417432705,2.0,7.785712876652691,13.836737793870835,3.9959358808018717,8
lr_step,qp,0,loss_probe,4.199311975876893,4.144266377089995,4.199594979887071,0.4873630307880553,3.0,3.276278269494065,1.9514143502313526,3.9959358808018717,8
lr_step,qp,0,w_fro,3.1383215222987815,3.436939448298399,3.075665273831655,0.6438671982074783,2.0,3.1424325299234184,6.363228530605798,3.9959358808018717,8
lr_step,qp,0,c_norm,3.138075876000361,3.4366457153600374,3.075521793088491,0.6438692681864817,2.0,3.1423293305617883,6.363097930797673,3.9959358808018717,8
lr_step,qp,0,fn_fro,3.674516936622453,3.8559155310999547,3.674516936622453,0.6406821324658475,2.0,2.8883899505199966,5.921903196148817,3.9959358808018717,8
lr_step,qp,0,g_fro,5.629506306585512,5.573091151459792,5.645825724090691,0.8004694544669033,2.0,8.987862713267347,15.01185699616272,3.9959358808018717,8
lr_step,qp,0,g_proj,4.41817983706806,4.777113141098278,4.29889822810506,0.6299713785617467,2.0,4.894968161606949,6.808995100771637,3.9959358808018717,8
lr_step,qp,0,c_proj1,4.383402865131847,4.635381912682233,4.277324800269575,0.5349696560547672,3.0,5.11616861520878,3.485135968384407,3.9959358808018717,8
lr_step,qp,0,fn_proj1,3.668816272723643,3.946633760339949,3.509368283206637,0.5475797042236245,3.0,3.3311920055170106,1.9844916840992504,3.9959358808018717,8
lr_step,qp,0,margin,4.044812870850668,4.094572214491839,4.044812870850668,0.680802084869718,2.0,3.3155485714260613,6.718998729230256,3.9959358808018717,8
lr_step,qp,0,acc_probe,,,,,,,,3.9959358808018717,0
lr_step,qp,1,loss_step,4.19571250131638,4.196042585345065,4.195254924741902,0.510854486443485,3.0,4.49147355714603,6.550103862723663,3.999303298753375,8
lr_step,qp,1,loss_full,4.715428459137739,4.867170023017646,4.552670548803628,0.9169234145878673,2.0,5.746234349337353,10.540090312712408,3.999303298753375,8
lr_step,qp,1,loss_probe,4.143790658842104,4.181284724425499,4.089882619906053,0.5298685455433114,3.0,4.305641938795757,6.479054595163415,3.999303298753375,8
lr_step,qp,1,w_fro,4.882328342294346,4.68904576355992,4.888182472439496,0.6542955188301628,2.0,4.295645827245146,6.132141456692748,3.999303298753375,8
lr_step,qp,1,c_norm,4.882873826082314,4.689567410758565,4.888479992036489,0.6543069619436449,2.0,4.295052853402373,6.1316038081351945,3.999303298753375,8
lr_step,qp,1,fn_fro,5.513530634722838,5.393991270020553,5.515808247167543,0.6825151625420399,2.0,3.7558862602165535,6.431819359365573,3.999303298753375,8
lr_step,qp,1,g_fro,5.363204904450329,5.576884112673433,5.095161681638454,0.9129895142428837,2.0,5.27056712623307,10.141540532871607,3.999303298753375,8
lr_step,qp,1,g_proj,4.073628371745601,4.330807355960978,4.0659723134790795,0.7024600412747758,2.0,1.8640567238759955,3.9117862695196095,3.999303298753375,8
lr_step,qp,1,c_proj1,5.2438292427350195,4.783057132155735,5.308295399624066,0.7225133343176822,2.0,2.000531488818312,4.140315662586885,3.999303298753375,8
lr_step,qp,1,fn_proj1,4.617894922586206,4.25030109239888,4.722484895408789,0.6721933784064638,2.0,2.547778281391741,3.7580036350084915,3.999303298753375,8
lr_step,qp,1,margin,3.5096894115052333,3.8385899639437957,3.380121435362092,0.6040245331862399,2.0,4.562608911731431,8.34477554275201,3.999303298753375,8
lr_step,qp,2,loss_step,5.490910929683345,5.494992659130034,5.487743522697338,0.6462309751834098,2.0,2.9597159840433074,4.268225295799251,3.9990014392879494,8
