family,rank,seed,observer,period,factor,tau,MG,ident,deg,cross
teacher,2,2,velocity_norm,40.0,2,4,6.56726266751299,1.6740800706574877,False,253.0
teacher,2,2,velocity_norm,40.0,4,2,6.395534361999347,1.6802180828196085,False,253.0
teacher,2,2,velocity_norm,40.0,8,1,5.380875468821903,1.8818752830342014,False,253.0
teacher,2,2,random_projection,150.0,2,15,6.489234550349029,1.5359095074025237,False,118.0
teacher,2,2,random_projection,150.0,4,8,6.413713270472838,1.8790772558355715,False,118.0
teacher,2,2,random_projection,150.0,8,4,5.770912484173883,1.855881775139017,False,118.0
teacher,4,0,loss,80.0,2,8,5.832680208862652,1.8515303263109948,False,237.0
teacher,4,0,loss,80.0,4,4,5.851871253195735,1.7737350288330034,False,237.0
teacher,4,0,loss,80.0,8,2,6.042453420426259,1.9359984228855414,False,237.0
teacher,4,0,state_norm,85.71428571428571,2,9,6.940033685058553,2.635832690006225,False,55.0
teacher,4,0,state_norm,85.71428571428571,4,4,5.751045177709754,1.9755844932432989,False,55.0
teacher,4,0,state_norm,85.71428571428571,8,2,5.124352395441653,1.7639140765711685,False,55.0
teacher,4,0,velocity_norm,80.0,2,8,5.474610635464305,1.7993584754014633,False,229.0
teacher,4,0,velocity_norm,80.0,4,4,5.97643168814333,1.7138652871115687,False,229.0
teacher,4,0,velocity_norm,80.0,8,2,6.092591229138147,1.792374935364512,False,229.0
teacher,4,0,random_projection,120.0,2,12,6.308954859249612,1.9953648555264303,False,101.0
teacher,4,0,random_projection,120.0,4,6,6.370942726349996,1.56557537896607,False,101.0
teacher,4,0,random_projection,120.0,8,3,5.574903252089776,1.7727170401333263,False,101.0
teacher,4,1,loss,40.0,2,4,5.655794511244957,1.7197905404761007,False,234.0
teacher,4,1,loss,40.0,4,2,6.172217093585865,1.6087213762954877,False,234.0
teacher,4,1,loss,40.0,8,1,5.954414859160058,1.7339991377024169,False,234.0
teacher,4,1,state_norm,1200.0,2,120,,,True,160.0
teacher,4,1,state_norm,1200.0,4,60,,,True,160.0
teacher,4,1,state_norm,1200.0,8,30,6.958994234626669,,False,160.0
teacher,4,1,velocity_norm,23.076923076923077,2,2,6.094493454866209,1.8724969762238304,False,264.0
teacher,4,1,velocity_norm,23.076923076923077,4,1,5.45458263429308,1.9000535053911392,False,264.0
teacher,4,1,velocity_norm,23.076923076923077,8,1,5.45458263429308,1.9000535053911392,False,264.0
teacher,4,1,random_projection,85.71428571428571,2,9,6.294211983157313,1.789024858254315,False,122.0
teacher,4,1,random_projection,85.71428571428571,4,4,5.675197154120013,1.8125346812428456,False,122.0
teacher,4,1,random_projection,85.71428571428571,8,2,5.858498282138221,1.5734838056008629,False,122.0
teacher,4,2,loss,63.1578947368421,2,6,5.611048417243642,1.7551303000811953,False,213.0
teacher,4,2,loss,63.1578947368421,4,3,6.153166966830609,1.6851274683140953,False,213.0
teacher,4,2,loss,63.1578947368421,8,2,5.8655042813083496,1.692819357001447,False,213.0
teacher,4,2,state_norm,1200.0,2,120,,,True,70.0
teacher,4,2,state_norm,1200.0,4,60,,,True,70.0
teacher,4,2,state_norm,1200.0,8,30,11.926867294906785,,False,70.0
teacher,4,2,velocity_norm,60.0,2,6,6.1040122991291,1.5587822285517188,False,220.0
teacher,4,2,velocity_norm,60.0,4,3,5.632871687069235,1.841003012620282,False,220.0
teacher,4,2,velocity_norm,60.0,8,2,5.896175482026924,1.7147944347778352,False,220.0
teacher,4,2,random_projection,400.0,2,40,,,True,167.0
teacher,4,2,random_projection,400.0,4,20,6.215578174967575,,False,167.0
teacher,4,2,random_projection,400.0,8,10,6.0967095191927925,1.779923969268505,False,167.0
