observer,k,seed,MG,error
gradient_fro,15,1,1.438421938917818,-13.561578061082182
gradient_projection,15,1,1.1877000096567178,-13.812299990343282
output_fro,15,1,1.275932352920651,-13.724067647079348
loss,15,1,1.438630936814958,-13.561369063185042
latent_fro,16,1,1.3775757491989054,-14.622424250801094
latent_projection,16,1,1.1882985931858632,-14.811701406814137
gradient_fro,16,1,1.3497426905421792,-14.650257309457821
gradient_projection,16,1,1.3455554936845182,-14.654444506315482
output_fro,16,1,1.3073561904149769,-14.692643809585023
loss,16,1,1.3493949823664773,-14.650605017633524
latent_fro,17,1,1.3709434467983526,-15.629056553201647
latent_projection,17,1,1.2599355204765939,-15.740064479523406
gradient_fro,17,1,1.3924557800430846,-15.607544219956916
gradient_projection,17,1,1.2397275148209213,-15.76027248517908
output_fro,17,1,1.313954931553454,-15.686045068446546
loss,17,1,1.3922666535397614,-15.607733346460238
latent_fro,18,1,1.3875253054520553,-16.612474694547945
latent_projection,18,1,1.2158103040508574,-16.78418969594914
gradient_fro,18,1,1.3632384859956936,-16.636761514004306
gradient_projection,18,1,1.2510013149394488,-16.748998685060553
output_fro,18,1,1.3136178478542246,-16.686382152145775
loss,18,1,1.363369102968718,-16.63663089703128
latent_fro,19,1,1.4078729667168293,-17.59212703328317
latent_projection,19,1,1.3300597777993242,-17.669940222200676
gradient_fro,19,1,1.3730138367486588,-17.626986163251342
gradient_projection,19,1,1.271985675344434,-17.728014324655565
output_fro,19,1,1.3619897383113684,-17.63801026168863
loss,19,1,1.373103570602591,-17.62689642939741
latent_fro,20,1,1.4012461928000082,-18.59875380719999
latent_projection,20,1,1.2280447979532427,-18.771955202046758
gradient_fro,20,1,1.4170417726592859,-18.582958227340715
gradient_projection,20,1,1.2336155360881373,-18.766384463911862
output_fro,20,1,1.3116344246270086,-18.68836557537299
loss,20,1,1.416912216406393,-18.58308778359361
latent_fro,1,2,1.1575869497995304,0.15758694979953036
latent_projection,1,2,1.1859483634173764,0.18594836341737642
gradient_fro,1,2,1.157638946033232,0.15763894603323192
gradient_projection,1,2,1.184996262697398,0.184996262697398
output_fro,1,2,1.1859688759875193,0.18596887598751932
loss,1,2,1.1507803445777283,0.15078034457772826
latent_fro,2,2,1.3386244520995434,-0.6613755479004566
latent_projection,2,2,1.1837099997716494,-0.8162900002283506
gradient_fro,2,2,1.3437893058654942,-0.6562106941345058
gradient_projection,2,2,1.1861765052896192,-0.8138234947103808
output_fro,2,2,1.187167810093248,-0.8128321899067521
loss,2,2,1.3425665578008101,-0.6574334421991899
latent_fro,3,2,1.2416028572454008,-1.7583971427545992
latent_projection,3,2,1.185457911401646,-1.814542088598354
gradient_fro,3,2,1.2160310004573933,-1.7839689995426067
gradient_projection,3,2,1.1863789682216697,-1.8136210317783303
output_fro,3,2,1.1831520572588339,-1.8168479427411661
loss,3,2,1.2247862889145904,-1.7752137110854096
latent_fro,4,2,1.3286892135005148,-2.671310786499485
latent_projection,4,2,1.1837562077397006,-2.816243792260299
gradient_fro,4,2,1.3587026713414811,-2.641297328658519
gradient_projection,4,2,1.1842642762735165,-2.8157357237264833
output_fro,4,2,1.1834387958447945,-2.8165612041552057
loss,4,2,1.3583426310977473,-2.6416573689022527
latent_fro,5,2,1.353694764317618,-3.646305235682382
latent_projection,5,2,1.2120939519056158,-3.787906048094384
gradient_fro,5,2,1.3174541171472363,-3.6825458828527635
gradient_projection,5,2,1.1849007222935612,-3.8150992777064388
output_fro,5,2,1.1831155045843775,-3.8168844954156222
loss,5,2,1.3179519717350303,-3.68204802826497
latent_fro,6,2,1.3522988044871804,-4.64770119551282
latent_projection,6,2,1.1833663428732557,-4.8166336571267445
gradient_fro,6,2,1.3289960409232202,-4.67100395907678
gradient_projection,6,2,1.184106449150665,-4.815893550849335
output_fro,6,2,1.1840473654158548,-4.8159526345841455
loss,6,2,1.328849412965825,-4.671150587034175
latent_fro,7,2,1.3159984404572027,-5.684001559542797
latent_projection,7,2,1.1844587340427275,-5.815541265957273
gradient_fro,7,2,1.3976247759003286,-5.602375224099672
gradient_projection,7,2,1.222292672399412,-5.777707327600588
output_fro,7,2,1.1843651308457384,-5.815634869154262
loss,7,2,1.3976207422483007,-5.602379257751699
latent_fro,8,2,1.2810075917933175,-6.718992408206683
latent_projection,8,2,1.1981065511283484,-6.801893448871652
gradient_fro,8,2,1.2898720659828447,-6.710127934017155
gradient_projection,8,2,1.1830955471264857,-6.816904452873514
output_fro,8,2,1.1929732194003764,-6.807026780599624
loss,8,2,1.2898420236725814,-6.710157976327419
latent_fro,9,2,1.318862210266998,-7.681137789733002
