run,lr,seed,column,segment,subsample,tau,t_grok,eta_lam_over_2,start_sample,n_samples,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,crossings,rises,degenerate
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,4,802.0,0.9735302057833906,440,160,,,,1.0000131768197211,0.005528111936022357,35.0,2.0,0.0,True
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,0,160,4.917357443251481,1.9498438506533138,0.3965227000793393,1.164665884045349,0.11093845625227725,12.0,2.0,0.33962264150943394,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,40,160,4.138450846585545,3.7141598752490124,0.897475894467468,1.1408127353319826,0.2472178762751702,19.0,8.0,0.4025157232704403,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,80,160,4.06482616151981,4.254685014583124,1.046707742353323,1.1206794335783143,0.2017706686562309,28.0,12.0,0.3270440251572327,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,120,160,4.107140376365011,4.470035918943534,1.0883572289534695,1.0538685409698618,0.10991109272382647,32.0,8.0,0.22641509433962265,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,160,160,4.091451686567856,4.66489946856522,1.1401575347644894,1.0130457877463537,0.049503398026007374,33.0,6.0,0.11320754716981132,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,200,160,4.106500900795488,4.836285841609594,1.1777145454108475,1.0014447410761855,0.016392984132221285,34.0,2.0,0.025157232704402517,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,240,160,4.095036345369022,4.951453505643136,1.2091354234847307,1.0000841860401197,0.009072007682954193,34.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,280,160,4.113497426720411,5.056936066593614,1.2293519460459181,1.0000118340138644,0.008080982393370729,34.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,320,160,4.159546050909263,5.164413995286284,1.241581156231546,1.0000064212410462,0.007213239186391448,34.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,360,160,4.1254813209591985,5.267251577202377,1.2767604959068657,1.0000044361136886,0.006543058633704143,35.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,400,160,4.084500456440833,5.356268025836517,1.3113642862715902,1.0000032391010079,0.00598958025698356,35.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,50,1,802.0,0.9735302057833906,440,160,4.107294560433731,5.38673736204661,1.311505002328776,1.000002347561275,0.005528111936022357,35.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,0,8000,5.842418411188965,21.270041220904723,3.6406227222908107,7.801093828344372,0.6403821442654736,4.0,18.0,0.47055881985248155,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,2000,8000,5.680964237869542,20.00670560953535,3.521709479558034,1.0250121185306493,0.010277591048826088,1231.0,18.0,0.49668708588573574,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,4000,8000,6.274846238297663,17.77597742155907,2.832894503942715,1.0112694661637098,0.00888985173276587,1433.0,18.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,6000,8000,7.465303932982691,17.089095427950678,2.289135925524588,1.0027008416042258,0.008174507559410397,1601.0,52.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,8000,8000,7.809011272898265,15.498219645714348,1.9846583778796727,1.0003544677362233,0.007992256703417279,1632.0,66.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,10000,8000,7.628009562849468,14.82736265297693,1.9438049376852276,1.0000304241763678,0.007936007333762127,1663.0,284.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,12000,8000,7.9762578194097005,15.414931153259275,1.9326019171230964,1.0000003895321126,0.00794917469068013,1681.0,82.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,14000,8000,7.917660096773932,15.278902361206695,1.9297244608204536,1.0000000668341327,0.007970150100855056,1693.0,100.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,16000,8000,7.844341279499642,15.060910710885516,1.9199713748107334,1.0000000442857149,0.008012437649779066,1701.0,110.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,18000,8000,7.744612087174543,14.87276118386133,1.920401049975292,1.0000000316817745,0.008069268060629612,1708.0,124.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,post,1,4,802.0,0.9735302057833906,20000,8000,7.61813670127901,14.785672257971276,1.9408515281025225,1.0000000235171933,0.008137318675936527,1713.0,136.0,0.5000625078134767,False
