observer,k,seed,MG,error
parameter_fro,18,0,1.3295686943288174,-16.670431305671183
parameter_projection,18,0,15.823123629828375,-2.176876370171625
loss,18,0,1.3295922981185706,-16.67040770188143
latent_fro,19,0,1.3295686943288174,-17.670431305671183
latent_projection,19,0,16.104128835808154,-2.8958711641918455
gradient_fro,19,0,1.3295686946185086,-17.67043130538149
output_fro,19,0,1.3295686943288174,-17.670431305671183
parameter_fro,19,0,1.3295686943288174,-17.670431305671183
parameter_projection,19,0,15.72817183224994,-3.2718281677500602
loss,19,0,1.3295922981185706,-17.67040770188143
latent_fro,20,0,1.3295686943288174,-18.670431305671183
latent_projection,20,0,16.132485611920004,-3.8675143880799965
gradient_fro,20,0,1.329568694618498,-18.670431305381502
output_fro,20,0,1.3295686943288174,-18.670431305671183
parameter_fro,20,0,1.3295686943288174,-18.670431305671183
parameter_projection,20,0,15.854115875219522,-4.145884124780478
loss,20,0,1.3295922981185704,-18.67040770188143
latent_fro,1,1,1.3295686943288174,0.3295686943288174
latent_projection,1,1,16.139202785827983,15.139202785827983
gradient_fro,1,1,1.3295686946185,0.3295686946184999
output_fro,1,1,1.3295686943288174,0.3295686943288174
parameter_fro,1,1,1.3295686943288174,0.3295686943288174
parameter_projection,1,1,16.110355917819202,15.110355917819202
loss,1,1,1.3295922981185706,0.3295922981185706
latent_fro,2,1,1.3295686943288174,-0.6704313056711826
latent_projection,2,1,16.04487432111433,14.044874321114332
gradient_fro,2,1,1.3295686946184833,-0.6704313053815167
output_fro,2,1,1.3295686943288174,-0.6704313056711826
parameter_fro,2,1,1.3295686943288174,-0.6704313056711826
parameter_projection,2,1,15.819918020957987,13.819918020957987
loss,2,1,1.3295922981185706,-0.6704077018814294
latent_fro,3,1,1.3295686943288174,-1.6704313056711826
latent_projection,3,1,16.07516333173153,13.075163331731531
gradient_fro,3,1,1.3295686946185288,-1.6704313053814712
output_fro,3,1,1.3295686943288174,-1.6704313056711826
parameter_fro,3,1,1.3295686943288174,-1.6704313056711826
parameter_projection,3,1,15.783573240913595,12.783573240913595
loss,3,1,1.3295922981185708,-1.6704077018814292
latent_fro,4,1,1.3295686943288174,-2.6704313056711824
latent_projection,4,1,15.60276013348617,11.60276013348617
gradient_fro,4,1,1.3295686946184975,-2.6704313053815025
output_fro,4,1,1.3295686943288174,-2.6704313056711824
parameter_fro,4,1,1.3295686943288174,-2.6704313056711824
parameter_projection,4,1,15.639896889769663,11.639896889769663
loss,4,1,1.329592298118571,-2.670407701881429
latent_fro,5,1,1.3295686943288174,-3.6704313056711824
latent_projection,5,1,15.663709627420122,10.663709627420122
gradient_fro,5,1,1.3295686946185021,-3.6704313053814976
output_fro,5,1,1.3295686943288174,-3.6704313056711824
parameter_fro,5,1,1.3295686943288174,-3.6704313056711824
parameter_projection,5,1,15.663836215623194,10.663836215623194
loss,5,1,1.329592298118571,-3.670407701881429
latent_fro,6,1,1.3295686943288174,-4.670431305671182
latent_projection,6,1,15.976621916870682,9.976621916870682
gradient_fro,6,1,1.3295686946184917,-4.670431305381508
output_fro,6,1,1.3295686943288174,-4.670431305671182
parameter_fro,6,1,1.3295686943288174,-4.670431305671182
parameter_projection,6,1,16.155364371585407,10.155364371585407
loss,6,1,1.3295922981185706,-4.670407701881429
latent_fro,7,1,1.3295686943288174,-5.670431305671182
latent_projection,7,1,15.927704032371722,8.927704032371722
gradient_fro,7,1,1.3295686946185015,-5.6704313053814985
output_fro,7,1,1.3295686943288174,-5.670431305671182
parameter_fro,7,1,1.3295686943288174,-5.670431305671182
parameter_projection,7,1,16.025559037039635,9.025559037039635
loss,7,1,1.329592298118571,-5.6704077018814285
latent_fro,8,1,1.3295686943288174,-6.670431305671182
latent_projection,8,1,16.054480370480288,8.054480370480288
gradient_fro,8,1,1.329568694618498,-6.670431305381502
output_fro,8,1,1.3295686943288179,-6.670431305671182
parameter_fro,8,1,1.3295686943288174,-6.670431305671182
parameter_projection,8,1,15.792445972380344,7.792445972380344
