metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
val_loss,transition,9,5,4.507006412573454,2.8887727608484033,3.762811099503596,3.3263582818294237
val_loss,transition,9,8,3.5046883275494567,2.6865643191382342,3.294757378252451,2.3942190938438124
val_loss,transition,9,10,3.351426217003334,2.629008172127123,3.2466900499798634,2.496388753236328
val_loss,transition,9,15,3.219851944499791,2.811893476232072,2.8582313942342386,1.8505025906283983
val_loss,transition,12,5,4.416207478699219,2.754393484670189,3.5388591584540814,3.0656802742618368
val_loss,transition,12,8,3.519284838434277,2.6373845082536476,3.2398522108743606,2.8401053803086076
val_loss,transition,12,10,3.3486880823775595,2.559477246122194,2.84857272160445,2.799834713456356
val_loss,transition,12,15,3.1773977339261257,2.6483614510825157,2.6409546414448037,1.896965200003971
val_loss,transition,15,5,3.6816789643900774,2.641824984376914,3.545460955987232,3.2196295880697035
val_loss,transition,15,8,3.5127438890816256,2.689232162006355,3.378466875272877,2.9396412334827096
val_loss,transition,15,10,3.290476926677142,2.550190456171001,2.607124650049523,2.6225915850250763
val_loss,transition,15,15,3.0341821019950936,2.463552836393461,2.422219254748347,1.8040149064377302
val_loss,post_grok,6,5,9.32122625185041,3.436008589484952,5.794826060238315,8.497507122927598
val_loss,post_grok,6,8,7.25314107547406,2.1467733823287705,5.2945614909634475,8.353660760201535
val_loss,post_grok,6,10,6.435557253823454,2.2784204808067203,4.746111484005449,6.2469412544704745
val_loss,post_grok,6,15,4.703294351666956,2.5453187543074742,4.374376052020914,4.868438594968404
val_loss,post_grok,9,5,13.828674569182962,3.7795416358076617,8.237164613337967,9.045371798222273
val_loss,post_grok,9,8,8.06170783228867,3.6399661923427877,6.71500397925617,6.2357588260212395
val_loss,post_grok,9,10,6.247153587256792,3.721418514094996,5.5658208357141135,4.951959581222073
val_loss,post_grok,9,15,5.459069374707939,3.793580608524604,4.8012419409891525,3.625546212340031
val_loss,post_grok,12,5,11.22242804202551,6.127534004030915,9.144397910527543,10.29540090042623
val_loss,post_grok,12,8,8.662956955035408,6.039685820842871,8.17809774825385,5.820884352772914
val_loss,post_grok,12,10,7.575812195536266,5.925649447702992,7.662199567169487,4.572213565590408
val_loss,post_grok,12,15,6.225282762267106,5.380387619649041,5.9006559787011055,2.7582202353988716
