sweep,arm,max_E,N,r,seed,observer,tau,truth_r,traj_rank,traj_pr,MG,LB,TwoNN,PRdelay,specPR256,roughness,acorr,degenerate,frac_floor,frac_sumfloor,tau_used,theiler_used,theiler_requested,embed_span,n_delay_vectors,crossings,margin_res,drive_cond,MG_2E,rho_ident,theiler_used_2E
N,frozen,20,1000,6,0,g_fro,4,6,20,5.993005680749981,8.11141616407617,8.599074581789887,11.77204734191797,10.587698758693485,10.740132052567365,0.8796214109228714,2.0,False,0.0,0.0,4,76,76,76,924,266,0.0051989785150333,2.8767904391192207,9.021615125304548,1.112212090073675,150.0
N,frozen,20,1000,6,0,c_proj1,4,6,20,5.993005680749981,6.966942720925657,7.199594018809267,13.934912477570016,4.518221922845427,4.155886589575654,0.6014508735261568,2.0,False,0.0,0.0,4,76,76,76,924,211,0.0051989785150333,2.8767904391192207,6.84471302428417,0.9824557626583662,150.0
N,frozen,20,1000,6,0,fn_proj1,4,6,20,5.993005680749981,5.047608043294462,5.192664899268103,5.496367000399049,3.622106286467561,3.8386965336895975,0.635016004018969,2.0,False,0.0,0.0,4,76,76,76,924,212,0.0051989785150333,2.8767904391192207,4.82048552183299,0.9550039306710444,150.0
N,frozen,20,1000,6,1,c_norm,4,6,20,5.995281317522852,6.967289355472039,7.197781591126594,11.943836079362075,5.979555591370722,5.839777409136936,0.5268399490140624,3.0,False,0.0,0.0,4,76,76,76,924,170,0.0051989785150333,3.396494032322706,,,
N,frozen,20,1000,6,1,g_fro,4,6,20,5.995281317522852,11.100050690030349,11.646036095506318,11.280629388416422,15.797305161774696,24.438650735211915,0.9706604631059048,2.0,False,0.0,0.0,4,76,76,76,924,310,0.0051989785150333,3.396494032322706,,,
N,frozen,20,1000,6,1,c_proj1,4,6,20,5.995281317522852,3.5793315998926536,3.625498816789452,3.964540738188078,4.549531645916626,3.823127493091562,0.592573853757238,2.0,False,0.0,0.0,4,76,76,76,924,199,0.0051989785150333,3.396494032322706,,,
N,frozen,20,1000,6,1,fn_proj1,4,6,20,5.995281317522852,7.79116575314671,8.114219173482219,10.300964823475097,5.788425799442884,4.365416746066547,0.484662170297216,3.0,False,0.0,0.0,4,76,76,76,924,158,0.0051989785150333,3.396494032322706,,,
N,frozen,20,1000,6,2,c_norm,4,6,20,5.99301370327338,4.801875518595238,5.053557870030173,6.626245253188897,4.390075517604182,3.841986749801594,0.6329001050202819,2.0,False,0.0,0.0,4,76,76,76,924,212,0.0051989785150333,4.63122569699401,,,
N,frozen,20,1000,6,2,g_fro,4,6,20,5.99301370327338,10.115061214295732,10.578295173592847,8.949498182303431,12.297730500129122,14.331072467961834,0.911422786931603,2.0,False,0.0,0.0,4,76,76,76,924,279,0.0051989785150333,4.63122569699401,,,
N,frozen,20,1000,6,2,c_proj1,4,6,20,5.99301370327338,2.679645918645203,2.7725323449010144,9.0641111537142,3.772521899106597,3.816683493664431,0.624884192384133,2.0,False,0.0,0.0,4,76,76,76,924,200,0.0051989785150333,4.63122569699401,,,
N,frozen,20,1000,6,2,fn_proj1,4,6,20,5.99301370327338,3.9849338168157766,4.1857645949639055,8.357934336586428,6.389258136532536,5.485565622247454,0.5632182611534691,3.0,False,0.0,0.0,4,76,76,76,924,178,0.0051989785150333,4.63122569699401,,,
N,frozen,20,1000,8,0,c_norm,4,8,20,7.986390033366685,5.871827700360136,6.115663211142624,8.893916317582908,4.0194117059908425,4.4348783651996335,0.6701147011381833,2.0,False,0.0,0.0,4,76,76,76,924,221,0.0036319987108274,3.327332910084477,4.914989957694322,0.8370460116520231,150.0
