window,cycles,max_E,k_neighbors,tau,bias,mae,max_error,rho,inversions,objective,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
4000,300.0,25,10,2,-0.8622076204512243,1.375369294247824,3.8421350946754176,0.9757575757575757,2,2.6437963131829076,1.197509051813698,2.063533021943234,4.275578752009923,4.496321126378974,5.532866416837169,4.974519059742142,5.994036133280653,5.621116628047346,6.064578700110037,6.157864905324582
2000,300.0,25,5,4,0.7317640275011403,1.3458463103454612,3.024026936515277,0.7212121212121211,3,2.7006516976485164,1.2775565559442643,3.6463038174334215,4.0425395616422755,4.329641448764038,8.024026936515277,8.827448478468764,8.240534890464968,7.748181648884697,8.395390191209412,7.786016745684286
4000,300.0,25,10,4,-0.3992308161210507,1.1285677783914072,3.2367482468277533,0.8424242424242423,4,2.775917427756958,1.2044689415058332,2.1574439180230613,4.473498167415369,3.832103794983078,6.644071982833587,6.167201801573931,6.6975169637096625,6.579043484727069,6.489091030845655,6.763251753172247
2000,300.0,25,5,2,0.4159375759880196,1.2131687313058417,3.066106602132569,0.7696969696969697,4,2.8263900517323557,1.2381303561390902,3.2767471039980878,4.632554875219861,3.925762826271906,8.06610660213257,6.939966806455798,7.9920257925239016,6.899391224431928,8.380978874635776,7.807711298071278
4000,300.0,25,5,4,0.08607986040132376,1.4562371218670216,3.1174198499737757,0.7333333333333332,3,2.829721091861777,1.39152671776016,1.5377203521143297,5.532491636640411,6.068633818391629,7.0153672878814035,6.315497788161733,7.38806766250639,6.933128427837135,6.795784762693823,6.882580150026224
4000,300.0,25,20,2,-1.0265628540753515,1.356413058013303,4.149526726561888,0.9636363636363635,3,2.9363184033256804,1.1252179307329182,2.3236588951585397,3.7462403915159475,4.263298346445984,5.190835455836367,4.958069897543081,5.764827404663439,5.60836820595637,5.903381657955727,5.850473273438112
2000,1000.0,25,10,4,1.2768416439667534,1.4246694101830346,3.9129107185337695,0.9393939393939393,3,2.9572515538897886,0.6864106462838266,1.9857549937759673,3.7388969790075923,3.588695528858799,5.989244138315345,9.91291071853377,9.587094475682266,8.876583857210186,11.366187383320526,12.036637718679257
2000,300.0,25,10,1,-0.955429250645485,1.383096983916523,4.187623763752636,0.9272727272727272,3,2.9706217366670504,1.115081144324582,2.7819816047580086,3.1672758632105045,4.48611810066354,5.587881953398556,5.230247927746082,5.714448886253884,5.516372169174626,6.0339236077680045,5.812376236247364
4000,300.0,25,30,2,-1.1542013972220473,1.3640256351983904,4.335678571898954,0.9636363636363635,3,2.9811613495781812,1.1018750519755647,2.0496828128219904,3.5198112695496824,4.313078137035203,5.064673918499275,4.928805398205407,5.534961002134877,5.47782360596366,5.802953403492821,5.664321428101046
2000,300.0,25,20,1,-1.1633131705184572,1.3969942346764512,4.354324012015273,0.9636363636363635,3,3.017859037079506,1.133185991631839,2.25656842021511,2.8123142008242907,4.5582092385148485,5.2204416704281735,5.028023432336619,5.512776901932644,5.38936767281738,5.810304778129798,5.645675987984727
