observer,k,seed,expected,class,LB,MG,PR,TwoNN,roughness
trace,3,1,3.0,good,4.654046658957694,3.4212990697244394,2.933092471236797,2.2135048083671522,0.9351467577400567
logdet,3,1,3.0,good,4.436656913025362,3.3077776157325567,3.152349537071097,1.7890201792900093,0.9236432419781991
norm_l1,3,1,3.0,good,4.6540465555162704,3.4212964712439407,2.9330924692062252,2.2135041429174658,0.9351467609399962
proj_rand0,3,1,3.0,good,3.9760544618319686,3.2183511591312235,3.131315215990838,3.829349181979944,0.8651544883043246
proj_rand1,3,1,3.0,good,3.9611895814021816,3.0882430097276945,2.9623087507805934,3.629712159742308,0.9613191066999454
proj_rand2,3,1,3.0,good,4.45319290316835,3.591564653025664,2.7728509641578034,3.486293095723836,0.9345318500951464
proj_rand3,3,1,3.0,good,4.5319329194785585,3.532351286293336,2.464592717158469,4.9443351059162195,0.8818858232891978
coord_active0,3,1,1.0,bad_by_construction,1.5522992431782725,1.221178233890213,1.9918764781268536,0.6582252392587156,0.864494838389726
proj_half_active,3,1,1.0,bad_by_construction,1.5522983559743218,1.221176826926375,1.991876477936316,0.658202063482338,0.8644948386621593
coord_inactive,3,1,,degenerate,17.421747391059174,13.29241019550514,14.909746759433434,13.225880999850187,1.40883254024249
proj_inactive_only,3,1,,degenerate,15.0,12.21023956099889,10.23374962421476,13.300397540416647,1.0007506963872104
norm_fro,4,1,4.0,good,6.053715435462918,4.714361024658807,2.450666587386932,4.849615142996865,0.9558549502746803
norm_fro_sq,4,1,4.0,good,6.054313181614678,4.714268296356931,2.4507274761910254,4.849311408685841,0.9558693880000338
trace,4,1,4.0,good,5.955831068590564,4.514267913322379,2.632058755724005,5.330863485536408,0.9511190772718607
logdet,4,1,4.0,good,6.063755718963789,4.7186575259115875,2.938955322180095,4.813589826562086,0.9365858820480427
norm_l1,4,1,4.0,good,5.955828095235345,4.514268166507956,2.632058636584138,5.330860625370993,0.9511190853265974
proj_rand0,4,1,4.0,good,5.275997639272008,4.222213307190379,3.053952877377287,4.95099402398112,0.9146340037064951
proj_rand1,4,1,4.0,good,3.89167993619638,2.9565354555069066,2.8696199603322494,3.350578094447789,0.9632736431303268
proj_rand2,4,1,4.0,good,5.0346210506394575,3.8443329917284,2.769958087669,3.3727580421579066,0.934880008789147
proj_rand3,4,1,4.0,good,6.08718683832021,4.657163776021349,2.542674364640681,5.044635239366662,0.9169954969761774
coord_active0,4,1,1.0,bad_by_construction,1.5523019439506311,1.2211831555342951,1.991880804181813,0.6582216844959738,0.8644923127085087
proj_half_active,4,1,2.0,bad_by_construction,3.263485143534102,2.902872751564766,2.098581292318784,4.938075474566372,0.8742929035893527
coord_inactive,4,1,,degenerate,17.421747391059174,13.29241019550514,14.909746759433434,13.225880999850187,1.40883254024249
proj_inactive_only,4,1,,degenerate,15.0,12.260184249009596,10.233750877296467,13.300397540416647,1.0007507923814831
norm_fro,5,1,5.0,good,6.033430771054437,4.667355819538618,2.5113804087491474,4.849791380378875,0.9496950764397845
norm_fro_sq,5,1,5.0,good,6.033604317105216,4.666899318538433,2.5114369408696438,4.850476400253361,0.9497090505059568
trace,5,1,5.0,good,5.885811185324745,4.51826501693658,2.7658043227027944,4.754454436137183,0.933344626131549
logdet,5,1,5.0,good,5.879192823792919,4.5341428393446135,2.9493737109096996,4.736393685172157,0.9012622812748552
norm_l1,5,1,5.0,good,5.885810735864982,4.518267084140075,2.765804306130702,4.754453698105975,0.9333446179582168
proj_rand0,5,1,5.0,good,4.522159686314278,3.4648768539095687,3.0551334961303143,3.1229749969382534,0.9125071655270133
proj_rand1,5,1,5.0,good,4.7043820131079865,3.589287426542578,2.9526933991777784,3.021322325181267,0.9559432701071904
proj_rand2,5,1,5.0,good,5.123074744049865,3.917438572131251,2.8118272758440357,4.047784843331383,0.9108801887987218
proj_rand3,5,1,5.0,good,5.591009768571858,4.336680442964414,2.55631887420715,4.388643203079738,0.9135054855306238
coord_active0,5,1,1.0,bad_by_construction,1.5523037275777212,1.2211784496941518,1.9918824442821421,0.6582274300979587,0.8644913549290185
proj_half_active,5,1,2.0,bad_by_construction,3.2683754627812553,2.9070854191944204,2.098502486400416,4.939955411046808,0.8742684228081816
coord_inactive,5,1,,degenerate,17.375480747817864,13.300291741424912,14.910344271262316,13.23832947244069,1.4101491803510064
proj_inactive_only,5,1,,degenerate,15.0,12.117199921685222,10.23374884093984,13.285631175722013,1.0007506363673238
norm_fro,6,1,6.0,good,6.104329164486411,4.659493996729458,2.454650233144214,4.689246666974208,0.9511489576174783
norm_fro_sq,6,1,6.0,good,6.103793375206444,4.65925968367,2.4547066625413105,4.688429048946068,0.9511626750526855
trace,6,1,6.0,good,5.963399591875641,4.53456007716488,2.659283774776005,4.790474115727678,0.9374913886540535
logdet,6,1,6.0,good,6.103470572159613,4.678904954693589,2.867042214245093,4.859680906622946,0.9101337317765867
norm_l1,6,1,6.0,good,5.963402441951241,4.534560420705401,2.6592837542849463,4.790465533755408,0.9374913937029498
proj_rand0,6,1,6.0,good,5.1563758331264715,3.8673863149047754,2.5532760780391452,4.056140097056204,0.9358888952569653
proj_rand1,6,1,6.0,good,4.939124232703935,3.791871988755116,2.9477236781892424,3.737551889822628,0.9561735116209635
proj_rand2,6,1,6.0,good,5.586778109167741,4.2745245625556665,2.7129433072774747,4.6164333465438805,0.9195714835004776
proj_rand3,6,1,6.0,good,5.881188986216166,4.500578098318776,2.5499833057080763,4.589291607177401,0.9146315306561442
coord_active0,6,1,1.0,bad_by_construction,1.5522981777121314,1.2211768752352317,1.9918675776225658,0.658223528265604,0.8645000354752855
proj_half_active,6,1,3.0,bad_by_construction,3.8645660404887634,3.2666025497706457,2.1299150635532182,8.24186243875514,0.8700451233395035
coord_inactive,6,1,,degenerate,17.37548075010931,13.30029174126395,14.910344271262138,13.238329472104924,1.4101491803514015
proj_inactive_only,6,1,,degenerate,15.0,12.445039965215484,10.233789590199173,13.285631175528216,1.0007537569288938
norm_fro,1,2,1.0,good,1.5523012145987822,1.2211789695376607,1.9927765011207212,0.6582186152664451,0.8647192339336861
norm_fro_sq,1,2,1.0,good,1.5523019207230468,1.2211759169652685,1.9928083853951841,0.6582293426271374,0.8647271167096968
trace,1,2,1.0,good,1.5523042440361867,1.2211895017821341,1.9918758049540088,0.6582429125954581,0.8644952311261058
logdet,1,2,1.0,good,1.552299064966095,1.2211822838352824,1.9928094936507637,0.658226655008605,0.864722796949419
norm_l1,1,2,1.0,good,1.552297579149195,1.2211743614946802,1.9918758048897323,0.6582182516122891,0.8644952313763553
proj_rand0,1,2,1.0,good,1.5522998240389956,1.221176015529542,1.9918758049069853,0.6582123851532589,0.8644952313605793
proj_rand1,1,2,1.0,good,1.5523029125106016,1.2211857958921504,1.9918758048423573,0.6582156762080184,0.8644952318640835
proj_rand2,1,2,1.0,good,1.552300670435551,1.2211769526210832,1.991875804817527,0.6582097914082353,0.8644952312285161
proj_rand3,1,2,1.0,good,1.5523008729192111,1.2211864050508898,1.9918758050112462,0.6582393265373822,0.8644952305216208
coord_active0,1,2,1.0,bad_by_construction,1.5522998281416587,1.2211833448012772,1.9918758047927885,0.6582227816581919,0.8644952314900506
proj_half_active,1,2,1.0,bad_by_construction,1.5522991712082228,1.2211757126787324,1.9918758049308298,0.6582112004781834,0.8644952308650087
coord_inactive,1,2,,degenerate,17.35326943160957,13.05209509401787,14.890252127073616,13.323001610882303,1.4090493860584081
proj_inactive_only,1,2,,degenerate,15.0,12.01547229874632,10.233749848614021,13.343099441080708,1.0007507112904614
norm_fro,2,2,2.0,good,4.398848820298522,2.7481673731219005,2.438335251311108,2.4200727651491696,0.9088815596823531
norm_fro_sq,2,2,2.0,good,4.399174521000898,2.7480866866279903,2.438373621926054,2.4201998114978744,0.9088899366653435
trace,2,2,2.0,good,2.6960033312317218,2.2034720334689166,2.6114296343418486,2.679878379460792,0.9494278131923815
logdet,2,2,2.0,good,4.206558882864025,2.6940302171841184,2.413189183887239,3.3211376704602875,0.9883038372447303
norm_l1,2,2,2.0,good,2.696002823871723,2.2034715374612834,2.6114296374211783,2.679885823445203,0.9494278195992097
proj_rand0,2,2,2.0,good,4.5875958980223634,3.521484547827697,2.264587152171723,3.7378392063875054,1.001306327457885
proj_rand1,2,2,2.0,good,3.2888128756308395,2.3969894633724684,2.546541215537348,2.4138245884429947,0.9243808051741124
proj_rand2,2,2,2.0,good,3.393923965289422,2.430495796815236,2.4756963837862513,3.1170012701663703,0.9801358001847233
proj_rand3,2,2,2.0,good,1.5847429200855976,1.507158946209529,2.000515591335095,2.5413528675911494,1.0227023448509247
coord_active0,2,2,1.0,bad_by_construction,1.5523017983896878,1.22117827511687,1.9918788052497194,0.658212730362403,0.8644934788684923
proj_half_active,2,2,1.0,bad_by_construction,1.5522999169938854,1.2211863526489866,1.9918788054125638,0.6582232889635582,0.864493478863198
coord_inactive,2,2,,degenerate,17.375638322632252,13.048970283798294,14.889628409867138,13.32431149520659,1.4090418120431485
proj_inactive_only,2,2,,degenerate,15.0,12.126627507516565,10.233755898013376,13.339158839779042,1.000751166820481
norm_fro,3,2,3.0,good,4.131268680081162,3.0606639249277783,2.3575991675641372,3.2561477630230806,0.8133263927386992
norm_fro_sq,3,2,3.0,good,4.131322924182822,3.0605494140688836,2.3576579581414094,3.256450129761572,0.8133390407883744
trace,3,2,3.0,good,4.4368037803584235,3.088202067396049,2.9064628657545666,2.097927327675989,0.8653093151810681
logdet,3,2,3.0,good,4.280842195537092,3.2411226633935164,3.0180170135261943,1.823750264129247,0.9436287265859927
norm_l1,3,2,3.0,good,4.436805321106977,3.088203188190731,2.9064628676467215,2.0979241515680536,0.8653093105756079
proj_rand0,3,2,3.0,good,4.183296785925269,3.2219947372734805,2.5090574973932362,2.1743917582800503,0.9857624654848709
proj_rand1,3,2,3.0,good,4.3723816859369276,3.0399420604850604,2.569892809438854,2.575846353423608,0.8332678283199427
proj_rand2,3,2,3.0,good,4.267763788585253,3.1837957163839046,3.1984543276169477,1.7821375349646615,0.9023123473623101
proj_rand3,3,2,3.0,good,3.203461894956863,2.868383254288586,3.375028126229101,2.989176901567728,0.918094102659478
coord_active0,3,2,1.0,bad_by_construction,1.5522979539518784,1.2211762900055747,1.99188762889132,0.6582157885613741,0.8644883285966832
proj_half_active,3,2,1.0,bad_by_construction,1.5522995296309565,1.221169267219836,1.9918876290881804,0.6582085626280331,0.8644883273543778
coord_inactive,3,2,,degenerate,17.370802096113536,13.042782013686539,14.889449094579524,13.323903018427904,1.4083895452885085
proj_inactive_only,3,2,,degenerate,15.0,12.01053370879166,10.233764683925267,13.321973220128768,1.0007518568798612
norm_fro,4,2,4.0,good,5.2557303162691635,3.82736721851301,2.630682944806692,4.462589740892259,0.8377106326232836
norm_fro_sq,4,2,4.0,good,5.255955756498788,3.826770770598537,2.630739250829321,4.462019641373162,0.8377212259151329
trace,4,2,4.0,good,5.391343791336317,4.060283304508867,2.9910745784050983,4.644715443101041,0.8842455783444574
logdet,4,2,4.0,good,5.364164495606059,3.8794794168600815,2.894786159630527,3.9591932108679377,0.9482436829133192
norm_l1,4,2,4.0,good,5.391336997895454,4.060282883727521,2.9910745868615187,4.644717432362327,0.8842455799616923
