period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,4,1,20,1,1,19,19,1.1875,4.8109898055928095,3.4215957602377958,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,2,10,0,2,18,18,1.125,4.450570178820503,3.6190467761207152,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,2,10,1,2,18,18,1.125,4.7868122563378535,3.412593064531513,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,2,20,0,2,38,38,2.375,3.8736280090305457,5.153799879152456,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,2,20,1,2,38,38,2.375,4.8808615911077275,3.816718126043123,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,4,10,0,4,36,36,2.25,4.526240187089951,4.839513644754191,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,4,10,1,4,36,36,2.25,5.1039997224302605,3.4184450487521483,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,4,20,0,4,76,76,4.75,3.989845730180726,5.370100093529314,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,4,20,1,4,76,76,4.75,4.413414299224681,3.7377441735107646,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,8,10,0,8,72,72,4.5,4.89129095494712,4.957324755949105,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,8,10,1,8,72,72,4.5,5.082525413659576,3.601744624410419,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,8,20,0,8,150,152,9.5,3.491676807605889,5.34131434188665,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,8,20,1,8,150,152,9.5,4.429150613330312,3.922740462147018,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,16,10,0,16,144,144,9.0,4.506004419176836,3.42927591945163,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,16,10,1,16,144,144,9.0,5.3407084497490125,3.4719719075354902,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,16,20,0,16,150,304,19.0,4.049661240465643,5.103657699653243,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,16,20,1,16,150,304,19.0,4.9452599981057865,3.8404483000882648,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,32,10,0,32,150,288,18.0,4.738722875491179,3.7625982186256053,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,32,10,1,32,150,288,18.0,4.700919931217663,3.674377105521344,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,32,20,0,32,150,608,38.0,4.67311295182751,4.101018546616332,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,32,20,1,32,150,608,38.0,4.717719970905482,3.9513279929615033,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,acorr,10,0,1,9,9,0.5625,4.035802796372823,2.466626863959291,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,acorr,10,1,1,9,9,0.5625,4.094254263727876,2.4526285806039394,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,acorr,20,0,1,19,19,1.1875,4.45719940685145,3.637979929642864,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,acorr,20,1,1,19,19,1.1875,4.8109898055928095,3.4215957602377958,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,6,1,10,0,1,9,9,0.5625,4.391691078419279,2.3602936945435298,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,1,10,1,1,9,9,0.5625,4.239554517827815,2.697773593035085,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,1,20,0,1,19,19,1.1875,5.545192361333952,3.0562321055916293,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,1,20,1,1,19,19,1.1875,5.380402417243324,4.148799631444223,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,2,10,0,2,18,18,1.125,5.503734702832122,3.0451903026921676,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,2,10,1,2,18,18,1.125,5.331021839477425,4.133583150513707,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,2,20,0,2,38,38,2.375,6.863679023262671,3.9154213998264265,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,2,20,1,2,38,38,2.375,7.098097123026856,5.050554496309174,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,4,10,0,4,36,36,2.25,5.80006262065196,3.7764398902736915,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,4,10,1,4,36,36,2.25,6.361242017636353,3.339557503783082,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,4,20,0,4,76,76,4.75,6.951304262322311,5.778409840648748,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
16,6,4,20,1,4,76,76,4.75,6.894503261096696,4.312890754879666,5.200529130112922,3.0876009131214843,0.6454107896158279,False,0.0015006833423787669
16,6,8,10,0,8,72,72,4.5,7.127872148123948,4.084841243108571,10.940315091248658,3.9763858398676764,0.4970934759944104,False,0.0015006833423787669
